profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
congested,deadline_greedy,p95_latency_ms,33.94268972592376,0.09803104261482531,33.905792187259216,33.976328928607806,30
congested,deadline_greedy,p99_latency_ms,34.769178949662624,0.05524239382592479,34.748569083090636,34.787550646852715,30
congested,deadline_greedy,deadline_miss_rate,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,usable_confidence_proxy,0.7249282051819181,0.0016092933478095927,0.7243644131564243,0.7255162553009149,30
congested,deadline_greedy,mean_output_confidence,0.7249282051819181,0.0016092933478095927,0.7243644131564243,0.7255162553009149,30
congested,deadline_greedy,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,bandwidth_per_frame_kb,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,fallback_rate,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,reuse_rate,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,remote_attempt_rate,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,remote_accept_rate,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,remote_rejected_freshness_rate,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,pct_local_fast,100.0,0.0,100.0,100.0,30
congested,deadline_greedy,pct_edge_accurate,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,pct_hybrid,0.0,0.0,0.0,0.0,30
congested,deadline_greedy,pct_degraded_safe,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,mean_latency_ms,25.012597088142645,0.18113657767527264,24.94831415515531,25.07737720340451,30
congested,confidence_deadline,p95_latency_ms,33.94268972592376,0.09803104261482531,33.905792187259216,33.976328928607806,30
congested,confidence_deadline,p99_latency_ms,34.769178949662624,0.05524239382592479,34.748569083090636,34.787550646852715,30
congested,confidence_deadline,deadline_miss_rate,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,usable_confidence_proxy,0.7249282051819181,0.0016092933478095927,0.7243644131564243,0.7255162553009149,30
congested,confidence_deadline,mean_output_confidence,0.7249282051819181,0.0016092933478095927,0.7243644131564243,0.7255162553009149,30
congested,confidence_deadline,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,bandwidth_per_frame_kb,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,fallback_rate,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,reuse_rate,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,remote_attempt_rate,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,remote_accept_rate,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,remote_rejected_freshness_rate,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,pct_local_fast,100.0,0.0,100.0,100.0,30
congested,confidence_deadline,pct_edge_accurate,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,pct_hybrid,0.0,0.0,0.0,0.0,30
congested,confidence_deadline,pct_degraded_safe,0.0,0.0,0.0,0.0,30
congested,rtt_threshold,mean_latency_ms,25.012597088142645,0.18113657767527264,24.94831415515531,25.07737720340451,30
congested,rtt_threshold,p95_latency_ms,33.94268972592376,0.09803104261482531,33.905792187259216,33.976328928607806,30
congested,rtt_threshold,p99_latency_ms,34.769178949662624,0.05524239382592479,34.748569083090636,34.787550646852715,30
congested,rtt_threshold,deadline_miss_rate,0.0,0.0,0.0,0.0,30
